Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.242188,2.453125,2.195313,2.437500,0.975024,141102400
1985-02-01,2.390625,2.507813,2.312500,2.460938,0.984401,131019200
1985-03-01,2.437500,2.632813,2.421875,2.625000,1.058037,149992000
1985-04-01,2.609375,2.796875,2.523438,2.742188,1.105271,183592000
1985-05-01,2.726563,2.960938,2.679688,2.937500,1.183994,136675200
1985-06-01,2.960938,2.992188,2.804688,2.898438,1.176406,113316800
1985-07-01,2.906250,3.070313,2.812500,2.882813,1.170064,150539200
1985-08-01,2.921875,2.968750,2.765625,2.921875,1.185919,104529600
1985-09-01,2.921875,3.000000,2.671875,2.773438,1.133682,111371200
1985-10-01,2.765625,2.984375,2.695313,2.937500,1.200744,128929600
1985-11-01,2.929688,3.164063,2.914063,3.117188,1.274194,224345600
1985-12-01,3.101563,3.453125,3.015625,3.289063,1.353291,171881600
1986-01-01,3.281250,3.375000,3.078125,3.359375,1.382221,132534400
1986-02-01,3.359375,3.437500,2.859375,3.109375,1.279358,576472000
1986-03-01,3.117188,3.656250,3.007813,3.585938,1.485294,274787200
1986-04-01,3.609375,4.335938,3.304688,4.117188,1.705336,318836800
1986-05-01,4.054688,4.406250,4.000000,4.273438,1.770055,161201600
1986-06-01,4.257813,4.609375,4.101563,4.539063,1.889609,143424000
1986-07-01,4.539063,4.554688,4.023438,4.257813,1.772526,174428800
1986-08-01,4.265625,4.656250,4.187500,4.617188,1.922133,144096000
1986-09-01,4.593750,4.617188,3.765625,4.000000,1.673249,194441600
1986-10-01,4.031250,4.382813,3.867188,4.359375,1.823579,123788800
1986-11-01,4.375000,4.429688,4.046875,4.281250,1.790899,130014400
1986-12-01,4.218750,4.500000,4.078125,4.101563,1.724465,170254400
1987-01-01,4.101563,4.929688,4.101563,4.726563,1.987239,249284800
1987-02-01,4.710938,5.531250,4.671875,5.390625,2.266438,193604800
1987-03-01,5.437500,5.906250,5.335938,5.531250,2.335235,208251200
1987-04-01,5.484375,5.757813,5.195313,5.445313,2.298954,224408000
1987-05-01,5.421875,5.648438,5.015625,5.375000,2.269268,148656000
1987-06-01,5.398438,5.953125,5.312500,5.742188,2.436678,133956800
1987-07-01,5.750000,6.046875,5.570313,5.953125,2.526188,159984000
1987-08-01,5.937500,6.585938,5.781250,6.234375,2.645536,175347200
1987-09-01,6.250000,6.281250,5.593750,5.968750,2.543447,219763200
1987-10-01,6.000000,6.218750,3.453125,5.000000,2.130637,344299200
1987-11-01,4.953125,5.039063,4.421875,4.562500,1.944206,143969600
1987-12-01,4.609375,5.023438,4.375000,4.679688,2.005045,153884800
1988-01-01,4.742188,4.992188,4.351563,4.898438,2.098770,242632000
1988-02-01,4.937500,5.218750,4.750000,5.203125,2.229313,147928000
1988-03-01,5.210938,5.414063,4.835938,4.960938,2.136492,156260800
1988-04-01,4.929688,5.257813,4.710938,4.734375,2.038918,148171200
1988-05-01,4.750000,4.875000,4.328125,4.859375,2.092753,147083200
1988-06-01,4.890625,5.109375,4.804688,4.960938,2.151537,178225600
1988-07-01,4.968750,5.023438,4.750000,5.000000,2.168477,108262400
1988-08-01,5.000000,5.148438,4.921875,5.062500,2.195585,120308800
1988-09-01,5.039063,5.421875,4.984375,5.367188,2.342412,123940800
1988-10-01,5.359375,5.507813,5.265625,5.437500,2.373096,109171200
1988-11-01,5.437500,5.500000,5.039063,5.375000,2.345821,113971200
1988-12-01,5.375000,5.468750,5.265625,5.320313,2.336004,87448000
1989-01-01,5.312500,5.750000,5.187500,5.726563,2.514377,131144000
1989-02-01,5.726563,5.765625,5.343750,5.382813,2.363447,111040000
1989-03-01,5.421875,5.843750,5.320313,5.671875,2.504436,144632000
1989-04-01,5.679688,6.054688,5.617188,6.007813,2.652770,108467200
1989-05-01,5.968750,6.468750,5.859375,6.171875,2.725213,137480800
1989-06-01,6.218750,6.718750,5.890625,5.984375,2.657684,131359200
1989-07-01,6.093750,6.781250,5.984375,6.671875,2.963004,106146400
1989-08-01,6.656250,6.671875,6.171875,6.546875,2.907492,137716000
1989-09-01,6.578125,6.859375,6.250000,6.843750,3.056423,106166400
1989-10-01,6.781250,7.078125,6.312500,6.921875,3.091312,132754400
1989-11-01,6.875000,7.156250,6.546875,7.062500,3.154116,94060000
1989-12-01,7.125000,7.437500,6.937500,7.421875,3.332063,94146400
1990-01-01,7.343750,7.593750,6.390625,6.546875,2.939231,136120000
1990-02-01,6.781250,7.078125,6.500000,6.703125,3.009378,92084000
1990-03-01,6.734375,7.187500,6.718750,7.015625,3.166146,93845600
1990-04-01,6.968750,7.421875,6.937500,7.078125,3.194351,94313600
1990-05-01,7.125000,8.046875,7.093750,7.984375,3.603341,126883200
1990-06-01,8.062500,8.531250,7.859375,8.468750,3.843361,108437600
1990-07-01,8.468750,9.265625,8.437500,8.828125,4.006454,116019200
1990-08-01,8.796875,8.843750,7.500000,8.203125,3.722813,168426400
1990-09-01,8.078125,8.343750,7.562500,7.906250,3.606214,102738400
1990-10-01,8.000000,8.687500,7.921875,8.046875,3.670355,136454400
1990-11-01,8.031250,8.796875,7.968750,8.718750,3.976814,117522400
1990-12-01,8.843750,9.015625,8.687500,8.968750,4.111947,93742400
1991-01-01,8.921875,9.578125,8.171875,9.562500,4.384164,148303200
1991-02-01,9.531250,10.359375,9.375000,10.265625,4.706532,125629600
1991-03-01,10.140625,12.437500,10.125000,11.984375,5.518023,178516000
1991-04-01,11.953125,12.546875,11.640625,11.812500,5.438884,151252000
1991-05-01,11.781250,12.031250,11.109375,11.328125,5.215863,120423200
1991-06-01,11.156250,11.250000,10.250000,10.437500,4.826687,147764800
1991-07-01,10.562500,11.453125,10.218750,11.453125,5.296352,108432000
1991-08-01,11.453125,11.671875,10.625000,11.609375,5.368608,88289600
1991-09-01,11.640625,11.703125,11.000000,11.046875,5.130733,76906400
1991-10-01,11.062500,11.937500,10.593750,11.890625,5.522617,117614400
1991-11-01,11.859375,12.515625,11.562500,12.046875,5.595182,96635200
1991-12-01,11.906250,14.531250,11.906250,14.312500,6.674287,118049600
1992-01-01,14.062500,14.671875,12.781250,13.437500,6.266253,143755200
1992-02-01,13.343750,13.718750,12.062500,12.656250,5.901933,112514400
1992-03-01,12.593750,12.828125,11.750000,12.187500,5.704773,108916800
1992-04-01,12.125000,12.843750,11.109375,11.859375,5.551179,164190400
1992-05-01,11.796875,12.218750,11.500000,12.109375,5.668202,99303200
1992-06-01,12.062500,12.250000,10.750000,11.187500,5.262169,143238000
1992-07-01,11.156250,12.406250,11.156250,12.312500,5.791325,84928800
1992-08-01,12.218750,12.812500,12.031250,12.343750,5.806026,67834400
1992-09-01,12.312500,13.218750,11.625000,11.781250,5.567512,80918000
1992-10-01,11.843750,12.750000,10.812500,12.500000,5.907174,92159200
1992-11-01,12.437500,12.968750,11.906250,12.593750,5.951482,67899600
1992-12-01,12.562500,13.687500,12.437500,12.625000,5.994242,82614400
1993-01-01,12.562500,12.593750,10.875000,11.000000,5.222706,113930800
1993-02-01,11.093750,11.531250,9.406250,10.625000,5.044658,161588800
1993-03-01,10.718750,11.187500,9.656250,10.656250,5.085557,160477200
1993-04-01,10.656250,10.968750,9.593750,10.906250,5.204868,115748800
1993-05-01,11.000000,11.437500,10.562500,11.156250,5.324179,92354000
1993-06-01,11.125000,11.437500,10.125000,10.375000,4.980194,108939600
1993-07-01,10.312500,10.343750,9.031250,9.125000,4.380167,129280400
1993-08-01,9.156250,10.250000,8.906250,10.187500,4.890191,137678800
1993-09-01,10.156250,10.437500,9.406250,9.843750,4.759083,115323600
1993-10-01,9.812500,10.656250,9.625000,10.531250,5.091461,90568400
1993-11-01,10.531250,11.406250,10.468750,10.906250,5.272760,90893200
1993-12-01,10.937500,11.375000,10.593750,11.218750,5.456738,86742000
1994-01-01,11.187500,11.437500,10.031250,10.593750,5.152746,98402800
1994-02-01,10.562500,10.781250,10.000000,10.031250,4.879147,85927200
1994-03-01,10.031250,10.218750,9.000000,9.437500,4.618523,106467600
1994-04-01,9.125000,10.468750,9.062500,10.343750,5.062023,102322800
1994-05-01,10.343750,11.218750,10.125000,11.062500,5.413764,90794800
1994-06-01,11.031250,11.062500,10.562500,10.718750,5.282343,77763600
1994-07-01,10.781250,11.906250,10.562500,11.750000,5.790555,100252000
1994-08-01,11.750000,12.656250,11.656250,12.531250,6.175562,136172000
1994-09-01,12.531250,13.093750,12.093750,12.937500,6.414623,95790000
1994-10-01,12.968750,14.031250,12.375000,13.656250,6.770991,103617200
1994-11-01,13.562500,14.125000,12.812500,13.343750,6.616053,109474000
1994-12-01,13.406250,13.937500,13.031250,13.687500,6.823740,87551600
1995-01-01,13.656250,14.875000,13.406250,14.531250,7.244377,91209600
1995-02-01,14.593750,14.593750,13.875000,14.187500,7.073006,86100400
1995-03-01,14.156250,15.750000,14.093750,14.875000,7.453102,101681200
1995-04-01,14.843750,16.281250,14.593750,16.250000,8.142037,91005200
1995-05-01,16.187500,16.906250,15.406250,16.531250,8.282960,112846400
1995-06-01,16.500000,17.812500,16.343750,16.875000,8.497362,75038000
1995-07-01,16.812500,17.937500,16.093750,17.937500,9.032381,87112400
1995-08-01,17.875000,17.875000,16.718750,17.250000,8.686195,65398800
1995-09-01,17.250000,18.718750,17.093750,18.531250,9.375405,68438800
1995-10-01,18.406250,21.031250,18.281250,20.375000,10.308209,92542400
1995-11-01,20.312500,21.812500,19.906250,21.656250,10.956414,72781200
1995-12-01,21.718750,23.093750,21.281250,21.375000,10.858158,95390400
1996-01-01,21.375000,24.125000,20.781250,24.000000,12.191616,123280400
1996-02-01,24.062500,25.093750,23.093750,23.375000,11.874127,156618400
1996-03-01,23.562500,24.562500,22.750000,23.062500,11.755122,122030800
1996-04-01,23.281250,23.812500,21.406250,23.125000,11.786982,118370000
1996-05-01,23.000000,24.593750,22.093750,24.343750,12.408185,98430800
1996-06-01,24.250000,25.375000,23.750000,24.750000,12.666320,83213200
1996-07-01,24.875000,25.000000,22.062500,23.875000,12.218524,79048800
1996-08-01,23.875000,26.687500,23.875000,24.625000,12.602346,65203800
1996-09-01,24.312500,25.875000,24.125000,25.625000,13.161186,62727600
1996-10-01,25.625000,26.437500,23.562500,24.625000,12.647577,93335800
1996-11-01,24.875000,27.000000,24.437500,26.625000,13.674800,82136200
1996-12-01,26.562500,26.875000,24.000000,24.875000,12.823879,84063000
1997-01-01,24.937500,29.250000,24.312500,28.875000,14.886007,126250200
1997-02-01,29.000000,31.375000,28.312500,28.750000,14.821567,94141200
1997-03-01,28.500000,30.687500,26.375000,26.437500,13.672066,105654600
1997-04-01,26.437500,30.750000,25.562500,30.562500,15.805299,105851200
1997-05-01,30.312500,31.312500,29.125000,30.000000,15.514401,89750200
1997-06-01,30.125000,33.250000,29.375000,32.187500,16.705170,102868600
1997-07-01,32.187500,32.937500,30.000000,31.062500,16.121300,118577400
1997-08-01,31.000000,31.250000,27.968750,28.343750,14.710279,126425600
1997-09-01,28.375000,30.281250,27.562500,28.843750,15.025812,119904600
1997-10-01,29.062500,31.062500,26.500000,28.687500,14.944416,129242000
1997-11-01,29.218750,32.500000,29.093750,31.468750,16.393282,93621600
1997-12-01,31.687500,33.656250,31.562500,32.937500,17.221619,95667000
1998-01-01,32.531250,34.718750,31.687500,33.468750,17.499386,102829400
1998-02-01,34.250000,37.750000,34.031250,37.687500,19.705198,82795000
1998-03-01,37.593750,38.218750,35.531250,36.718750,19.259911,83395000
1998-04-01,36.656250,38.750000,34.031250,35.750000,18.751785,101515800
1998-05-01,36.250000,36.343750,34.062500,34.531250,18.112514,69146400
1998-06-01,34.937500,38.937500,33.531250,37.000000,19.474876,94330000
1998-07-01,36.875000,39.687500,35.406250,38.625000,20.330194,109580400
1998-08-01,38.593750,38.906250,34.437500,34.500000,18.159008,87899800
1998-09-01,34.562500,40.406250,34.062500,39.125000,20.661562,116230200
1998-10-01,38.562500,42.343750,36.312500,40.750000,21.519701,123883600
1998-11-01,40.718750,44.875000,40.312500,40.625000,21.453701,85487400
1998-12-01,40.531250,42.187500,38.093750,41.937500,22.212585,131225200
1999-01-01,41.468750,43.156250,38.500000,42.562500,22.543623,109601400
1999-02-01,42.437500,44.062500,40.812500,42.687500,22.609823,85177400
1999-03-01,42.375000,47.000000,41.843750,46.750000,24.835646,98503400
1999-04-01,46.625000,51.500000,44.437500,48.750000,25.898138,104470800
1999-05-01,48.718750,49.000000,43.906250,46.312500,24.603222,97097400
1999-06-01,46.218750,49.000000,44.625000,49.000000,26.107704,83921200
1999-07-01,48.687500,49.750000,45.531250,45.531250,24.259510,85808200
1999-08-01,45.968750,52.937500,45.156250,51.125000,27.239920,103887600
1999-09-01,51.125000,51.312500,45.000000,45.937500,24.548504,101840000
